food_name,"Thiamin, mg","Riboflavin, mg","Folate, total, µg","Protein, g","Ash, g","Fructose, g","Lactose, g","Energy, kJ","Fiber, total dietary, g","Iron, Fe, mg","Magnesium, Mg, mg","Phosphorus, P, mg","Sodium, Na, mg","Copper, Cu, mg","Manganese, Mn, mg","Niacin, mg","Vitamin B-6, mg","Total lipid (fat), g","Carbohydrate, by difference, g","Energy, kcal","Sucrose, g","Glucose, g","Maltose, g","Water, g","Calcium, Ca, mg","Potassium, K, mg","Zinc, Zn, mg","Selenium, Se, Âµg","Nitrogen, g","Sugars, Total, g"
"Mushroom, lion's mane",0.146,0.363,29.6,2.5,1.08,0,0,0,4.38,0.688,11.7,94,0.336,0.177,0.18,1.63,0.066,0.256,7.59,0,0,0,0,88.6,0,443,0.745,1.77,0.4,0
"Mushroom, oyster",0.07,0.244,63.1,2.9,0.732,0,0,0,2.85,0.698,13.9,86.2,1.13,0.106,0.086,5.75,0.099,0.188,6.94,0,0,0,0,89.2,0,282,0.684,1.38,0.464,0
"Mushrooms, shiitake",0.001,0.216,32.1,2.41,0.62,0,0,0,4.17,0.144,14.1,75.8,0.936,0.05,0.173,2.74,0.159,0.195,8.17,0,0,0,0,88.6,0.766,243,0.764,1.24,0.386,0
"Mushrooms, white button",0.065,0.444,34.8,2.89,0.829,0,0,0,1.72,0.227,10.2,93,6.44,0.389,0.054,3.88,0.077,0.371,4.08,0,0,0,0,91.8,5.46,373,0.511,20,0.462,0
"Soy milk, unsweetened, plain, shelf stable",0.063,0.084,19.7,3.55,0.635,0,0,0,0,0.542,21.5,68.6,34.3,0.108,0.208,0.236,0.055,2.12,1.29,0,0.557,0,0,92.4,101,158,0.312,1.94,0.568,0.557
"Almond milk, unsweetened, plain, shelf stable",0,0.033,0,0.555,0.487,0,0,0,0,0.29,6.78,29.8,59.6,0.021,0.045,0.074,0,1.22,0.337,0,0,0,0,97.4,173,30.8,0.172,0,0.089,0
"Spinach, baby",0.077,0.194,116,2.85,1.6,0,0,0,1.56,1.26,92.9,39,111,0.082,0.488,0.551,0.195,0.619,2.41,0,0,0,0,92.5,68.4,582,0.447,0,0.456,0
"Spinach, mature",0.076,0.192,113,2.91,1.42,0,0,0,1.59,1.05,93,40.6,107,0.079,0.426,0.51,0.214,0.604,2.64,0,0,0,0,92.4,66.6,460,0.423,0,0.465,0
"Tomato, roma",0.056,0,9.99,0.696,0.312,0,0,0,0.971,0.103,8.09,19.1,0,0.032,0.087,0.533,0.079,0.425,3.84,0,0,0,0,94.7,9.96,193,0.082,0,0.111,0
"Flour, 00",0.125,0.091,13.5,11.4,0.464,0,0,0,2.66,0.986,25.8,106,0,0.168,0.552,1.36,0.055,1.52,74.4,0,0,0,0,12.2,18.7,136,0.791,10.3,1.82,0
"Flour, spelt, whole grain",0.298,0.143,38.4,14.5,1.54,0,0,0,9.34,3.77,124,362,0,0.531,2.94,5.47,0.236,2.54,70.7,0,0,0,0,10.7,30,350,3.59,9.48,2.32,0
"Flour, semolina, coarse and semi-coarse",0.405,0.247,168,11.7,0.608,0,0,0,3.22,1.55,35.2,130,0,0.227,0.647,3.63,0.083,1.6,73.8,0,0,0,0,12.2,17.2,174,0.947,29.8,1.88,0
"Flour, semolina, fine",0.695,0.34,164,13.3,0.735,0,0,0,3.68,2.43,46.3,163,0.426,0.286,0.842,5.6,0.108,1.84,72,0,0,0,0,12.1,19.8,208,1.24,44.1,2.13,0
"Apple juice, with added vitamin C, from concentrate, shelf stable",0,0,3.09,0.086,0.124,5.7,0,0,0,0.04,4.86,5.99,4.87,0.003,0.027,0.01,0.014,0.286,11.4,0,1.39,3.21,0,88.1,7.1,95.9,0.002,0,0.014,10.3
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",0.07,0,29.8,0.734,0.35,2.1,0,0,0,0.065,10.6,18.2,5.23,0.032,0.03,0.04,0.043,0.325,10.3,0,4.39,1.79,0,88.2,12.8,180,0.032,0,0.118,8.28
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",0.026,0,0.664,0.258,0.122,7.42,0,0,0,0.041,7.87,12,4.02,0.015,0.166,0.016,0.039,0.288,15.6,0,0,6.61,0,83.7,9.74,49.8,0.057,0,0.041,14
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",0,0,1.73,0.094,0.138,7.39,0,0,0,0.119,4.27,12.6,7.19,0.004,0.061,0.006,0.014,0.265,15.8,0,0,7.05,0,83.7,7.32,49,0.018,0,0.015,14.4
"Cranberry juice, not fortified, from concentrate, shelf stable",0.018,0,8.97,0,0.099,0.715,0,0,0,0.126,4.38,3.3,6.34,0.013,0.211,0.009,0.009,0.338,7.26,0,0,2.7,0,92.3,6.64,70.6,0.041,0,0,3.41
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",0.033,0,19,0.57,0.221,2.06,0,0,0,0.015,7.75,14.6,1.03,0.024,0.015,0.019,0.022,0.267,9.1,0,3.18,1.87,0,89.8,8.88,128,0.027,0,0.091,7.12
"Tomato juice, with added ingredients, from concentrate, shelf stable",0.042,0,18.9,0.859,0.932,1.37,0,0,0,0.299,10.4,18.5,236,0.057,0.058,0.086,0.076,0.288,4.32,0,0,1.2,0,93.6,9.74,198,0.104,0,0.138,2.57
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.075,0,29,0.812,0.339,2.12,0,0,0,0.071,10.3,19,0.075,0.035,0.028,0.029,0.041,0.356,10,0,4.14,1.81,0,88.5,9.29,183,0.032,0,0.13,8.08
"Mushroom, portabella",0.005,0.465,0,2.75,0.8,0,0,0,1.88,0.139,9.04,87.5,5.31,0.203,0.049,3.9,0.097,0.312,4.66,0,0,0,0,91.5,3.24,349,0.389,14.7,0.44,0
"Mushroom, king oyster",0.006,0.244,0,2.41,0.656,0,0,0,3.01,0.338,13.5,89.9,0.771,0.047,0.091,6.45,0.119,0.308,8.5,0,0,0,0,88.1,0,294,0.625,1.2,0.385,0
"Mushroom, enoki",0.012,0.24,0,2.42,0.907,0,0,0,2.94,1.28,12.8,84.1,0.417,0.093,0.09,6.99,0.119,0.245,8.14,0,0,0,0,88.3,1.43,402,0.482,0,0.387,0
"Mushroom, crimini",0.004,0.517,0,3.09,0.875,0,0,0,1.78,0.312,10.2,100,4.57,0.321,0.061,4.17,0.112,0.197,4.01,0,0,0,0,91.8,4.1,380,0.512,15.3,0.495,0
"Mushroom, maitake",0.01,0.269,0,2.2,0.558,0,0,0,3.07,0.209,11,72.4,0.345,0.272,0.058,6.76,0.071,0.265,6.6,0,0,0,0,90.4,0,260,0.763,3.27,0.352,0
"Mushroom, beech",0.008,0.208,0,2.18,0.761,0,0,0,3.14,0.739,10.5,85.9,0.891,0.073,0.156,6.4,0.105,0.449,6.76,0,0,0,0,89.8,0.432,376,0.498,0.38,0.349,0
"Mushroom, pioppini",0.012,0.426,0,3.5,0.936,0,0,0,2.75,0.486,16,121,0,0.276,0.098,6.22,0.102,0.24,5.76,0,0,0,0,89.6,0,392,0.857,4.12,0.56,0
"Soy milk, unsweetened, plain, refrigerated",0.044,0.331,15.8,2.78,0.75,0,0,0,0,0.367,17.5,46,39.4,0.096,0.16,0.133,0.036,1.96,3,0,2.58,0,0,91.5,155,118,0.264,0,0.444,0
"Almond milk, unsweetened, plain, refrigerated",0.005,0.083,0,0.656,0.595,0,0,0,0,0.125,8.25,19.1,59.2,0.027,0.056,0.089,0,1.56,0.671,0,0.039,0,0,96.5,158,49.3,0.077,0,0.105,0
"Oat milk, unsweetened, plain, refrigerated",0.04,0.281,0,0.797,0.794,0,0,0,0,0.261,5.91,89.2,42,0.027,0.126,0.096,0.006,2.75,5.1,0,0,0.771,1.55,90.6,148,148,0.091,0,0.128,2.32
"Carrots, mature, raw",0.065,0.095,37.1,0.941,0.721,0,0,0,3.1,0.15,12.4,39.8,86.6,0.061,0.13,1.41,0.146,0.351,10.3,0,0,0,0,87.7,30.5,280,0.236,0,0.151,0
"Carrots, baby, raw",0.044,0.116,43.6,0.805,0.679,0,0,0,2.69,0.088,11.1,29.6,62.7,0.041,0.093,0.741,0.115,0.138,9.08,0,0,0,0,89.3,42.2,237,0.16,0,0.129,0
"Peppers, bell, green, raw",0.039,0.089,22.2,0.715,0.281,0,0,0,0.942,0.186,9,16.8,0,0.058,0.1,0.636,0.247,0.106,4.78,0,0,0,0,94.1,7.5,163,0.126,0,0.114,0
"Peppers, bell, yellow, raw",0.049,0.098,41.6,0.819,0.378,0,0,0,1.07,0.36,10.3,24.8,0,0.045,0.142,0.91,0.292,0.121,6.6,0,0,0,0,92.1,6.69,197,0.193,0,0.131,0
"Peppers, bell, red, raw",0.055,0.142,47.3,0.896,0.396,0,0,0,1.16,0.353,11,26.6,0,0.04,0.133,1.02,0.303,0.126,6.65,0,0,0,0,91.9,6.36,213,0.202,0,0.143,0
"Peppers, bell, orange, raw",0.055,0.102,0,0.882,0.379,0,0,0,0.967,0.365,10.4,26.6,0,0.035,0.149,1.08,0.332,0.156,6.7,0,0,0,0,91.9,4.9,201,0.242,0.3,0.141,0
"Buttermilk, low fat",0.049,0.196,0,3.46,0.852,0,3.66,0,0,0.013,11,92.2,92.5,0.001,0,0.128,0.039,1.08,4.81,0,0,0,0,89.8,120,158,0.426,0,0.543,0
"Yogurt, plain, whole milk",0.055,0.243,0,3.82,0.847,0,3.35,0,0,0,11.4,101,41.8,0.003,0.002,0.135,0.045,4.48,5.57,0,0,0,0,85.3,127,164,0.428,0,0.599,4.09
"Yogurt, Greek, plain, whole milk",0.055,0.244,0,8.78,0.753,0,2.61,0,0,0,10.7,126,33.8,0.01,0.006,0.227,0.044,4.39,4.75,0,0,0,0,81.3,111,147,0.473,0,1.38,3.25
"Cheese, parmesan, grated, refrigerated",0.035,0.409,0,30.1,5.2,0,0,0,0,0.14,35.4,625,1050,0.042,0.037,0.141,0.023,29.5,4.33,0,0,0.607,0,30.8,950,74,4.62,0,4.72,0.638
"Cheese, feta, whole milk, crumbled",0.056,0.444,0,19.7,3.74,0,0.61,0,0,0.068,17.7,328,1030,0.032,0.02,0.264,0.038,19.1,5.58,0,0,0.586,0,51.9,371,105,2.35,0,3.09,1.63
"Flour, almond",0.112,0.748,37.8,26.2,2.96,0,0,0,9.27,3.22,251,512,0.894,0.975,1.81,4,0.1,50.2,16.2,0,0,0,0,4.32,232,667,2.8,0.742,4.2,0
"Flour, oat, whole grain",0.39,0.161,34.7,13.2,1.75,0,0,0,10.5,4,125,372,3.62,0.443,3.26,1.94,0.148,6.31,69.9,0,0,0,0,8.86,42.8,373,2.75,38.2,2.11,0
"Flour, potato",0.198,0.115,41.2,8.11,2.71,0,0,0,5.4,12,73.6,197,47.7,0.231,0.676,5.63,0.582,0.951,79.9,0,0,0,0,8.28,44.1,1270,0.9,1.42,1.3,0
"Peanut butter, creamy",0.121,0,97.3,24,2.77,0,0,0,6.32,1.85,193,393,221,0.54,1.68,17.2,0.38,49.4,22.7,0,0,0,0,1.1,49.8,654,3.06,20.2,4.39,0
"Sesame butter, creamy",0.993,0,108,19.7,3.11,0,0,0,8.37,7,357,719,63.6,1.65,1.61,5.81,0.595,62.4,14.2,0,0,0,0,0.606,116,408,6.04,46.5,3.72,0
